time,precipitation_m_day
2009-09-16,0.01063
2009-09-17,0.00011
2009-09-18,0.0010500000000000002
2009-09-19,0.00315
2009-09-20,0.0011200000000000001
2009-09-21,0.0029500000000000004
2009-09-22,0.0035299999999999997
2009-09-23,0.00864
2009-09-24,0.0007
2009-09-25,0.00019
2009-09-26,0.00266
2009-09-27,0.00266
2009-09-28,0.0
2009-09-29,0.01033
2009-09-30,5.9999999999999995e-05
2009-10-01,0.0064800000000000005
2009-10-02,0.00398
2009-10-03,0.015009999999999999
2009-10-04,0.0
2009-10-05,0.010960000000000001
2009-10-06,0.0
2009-10-07,0.006719999999999999
2009-10-08,0.00639
2009-10-09,0.0
2009-10-10,0.0
2009-10-11,7.000000000000001e-05
2009-10-12,0.005030000000000001
2009-10-13,0.01652
2009-10-14,0.0013700000000000001
2009-10-15,0.005730000000000001
2009-10-16,0.0017900000000000001
2009-10-17,0.0009
2009-10-18,0.0
2009-10-19,0.0
2009-10-20,0.0009599999999999999
2009-10-21,0.0070599999999999994
2009-10-22,0.0061200000000000004
2009-10-23,0.00456
2009-10-24,0.01388
2009-10-25,0.0008
2009-10-26,0.00122
2009-10-27,0.023629999999999998
2009-10-28,0.00022
2009-10-29,0.00726
2009-10-30,0.0
2009-10-31,0.0012
2009-11-01,0.0069500000000000004
2009-11-02,0.0005
2009-11-03,0.0
2009-11-04,0.0
2009-11-05,0.0
2009-11-06,0.00041
2009-11-07,0.00128
2009-11-08,0.00622
2009-11-09,0.00333
2009-11-10,0.0
2009-11-11,0.0
2009-11-12,0.00558
2009-11-13,0.0065
2009-11-14,0.00131
2009-11-15,0.00014000000000000001
2009-11-16,0.0
2009-11-17,0.0
2009-11-18,0.0
2009-11-19,0.0
2009-11-20,0.0
2009-11-21,0.0
2009-11-22,0.0
2009-11-23,0.0
2009-11-24,0.0
2009-11-25,0.0
2009-11-26,0.0
2009-11-27,0.0
2009-11-28,0.0
2009-11-29,0.0
2009-11-30,0.0
2009-12-01,0.0
2009-12-02,0.0
2009-12-03,0.0
2009-12-04,0.0
2009-12-05,0.0
2009-12-06,0.0
2009-12-07,0.0
2009-12-08,0.0
2009-12-09,0.0
2009-12-10,0.0
2009-12-11,0.0
2009-12-12,0.01105
2009-12-13,0.00027
2009-12-14,0.0
2009-12-15,0.0
2009-12-16,0.0
2009-12-17,0.0
2009-12-18,0.0
2009-12-19,0.0
2009-12-20,0.0
2009-12-21,0.0
2009-12-22,0.0
2009-12-23,0.0
2009-12-24,0.0
2009-12-25,0.0
2009-12-26,0.0
2009-12-27,0.0
2009-12-28,0.0
2009-12-29,0.0
2009-12-30,0.0
2009-12-31,0.0
2010-01-01,0.0
2010-01-02,0.0
2010-01-03,0.0
2010-01-04,0.0
2010-01-05,0.0
2010-01-06,0.0
2010-01-07,0.0
2010-01-08,0.0
2010-01-09,0.0
2010-01-10,0.0
2010-01-11,0.0
2010-01-12,0.0
2010-01-13,0.0
2010-01-14,0.0
2010-01-15,0.0
2010-01-16,0.0
2010-01-17,0.0
2010-01-18,0.0
2010-01-19,0.0
2010-01-20,0.0
2010-01-21,0.0
2010-01-22,0.0
2010-01-23,0.0
2010-01-24,0.0
2010-01-25,0.0
2010-01-26,0.0
2010-01-27,0.0
2010-01-28,0.0
2010-01-29,0.0
2010-01-30,0.0
2010-01-31,0.0
2010-02-01,0.0
2010-02-02,0.0
2010-02-03,0.0
2010-02-04,0.0
2010-02-05,0.0
2010-02-06,0.0
2010-02-07,0.0
2010-02-08,0.0
2010-02-09,0.0
2010-02-10,0.0
2010-02-11,0.0
2010-02-12,0.020730000000000002
2010-02-13,0.0035299999999999997
2010-02-14,0.0
2010-02-15,0.0
2010-02-16,0.00016
2010-02-17,0.00041999999999999996
2010-02-18,0.00191
2010-02-19,0.00038
2010-02-20,0.00023999999999999998
2010-02-21,8e-05
2010-02-22,0.0002
2010-02-23,0.0007
2010-02-24,0.0
2010-02-25,0.0
2010-02-26,2.9999999999999997e-05
2010-02-27,0.0
2010-02-28,0.0
2010-03-01,0.0
2010-03-02,1e-05
2010-03-03,0.0
2010-03-04,0.0
2010-03-05,0.0
2010-03-06,0.0
2010-03-07,0.0
2010-03-08,0.00047999999999999996
2010-03-09,0.00146
2010-03-10,0.00032
2010-03-11,0.00792
2010-03-12,0.004860000000000001
2010-03-13,0.00166
2010-03-14,0.00011
2010-03-15,0.00028000000000000003
2010-03-16,0.016300000000000002
2010-03-17,0.00098
2010-03-18,0.0002
2010-03-19,0.0
2010-03-20,0.0
2010-03-21,0.0
2010-03-22,0.0
2010-03-23,0.0
2010-03-24,0.0
2010-03-25,0.0
2010-03-26,0.0
2010-03-27,0.0
2010-03-28,0.0003
2010-03-29,0.00017
2010-03-30,0.0
2010-03-31,2.9999999999999997e-05
2010-04-01,0.0
2010-04-02,0.0
2010-04-03,0.0
2010-04-04,0.00029
2010-04-05,0.011269999999999999
2010-04-06,0.0019299999999999999
2010-04-07,0.0
2010-04-08,0.013349999999999999
2010-04-09,0.0008
2010-04-10,0.00034
2010-04-11,0.0
2010-04-12,0.006719999999999999
2010-04-13,2.9999999999999997e-05
2010-04-14,5.9999999999999995e-05
2010-04-15,0.00796
2010-04-16,0.0
2010-04-17,0.022019999999999998
2010-04-18,0.0
2010-04-19,0.0
2010-04-20,0.0001
