time,precipitation_m_day
1989-01-01,0.0
1989-01-02,0.0
1989-01-03,0.0
1989-01-04,0.0
1989-01-05,0.0
1989-01-06,0.0
1989-01-07,0.0
1989-01-08,0.0
1989-01-09,0.0
1989-01-10,0.0
1989-01-11,0.0
1989-01-12,0.0
1989-01-13,0.0
1989-01-14,0.0
1989-01-15,0.0
1989-01-16,0.0
1989-01-17,0.0
1989-01-18,0.0
1989-01-19,0.0
1989-01-20,0.0
1989-01-21,0.0
1989-01-22,0.0
1989-01-23,0.0
1989-01-24,0.0
1989-01-25,0.0
1989-01-26,0.0
1989-01-27,0.0
1989-01-28,0.0
1989-01-29,0.0
1989-01-30,0.0
1989-01-31,0.0
1989-02-01,0.0
1989-02-02,0.0
1989-02-03,0.0
1989-02-04,0.0
1989-02-05,0.0
1989-02-06,0.0
1989-02-07,0.0
1989-02-08,0.0
1989-02-09,0.0
1989-02-10,0.0
1989-02-11,0.0
1989-02-12,0.0
1989-02-13,0.00391
1989-02-14,0.0
1989-02-15,0.0
1989-02-16,0.0
1989-02-17,0.0
1989-02-18,0.0
1989-02-19,0.0
1989-02-20,0.0
1989-02-21,0.0
1989-02-22,0.0
1989-02-23,0.0
1989-02-24,0.0
1989-02-25,0.0
1989-02-26,0.0
1989-02-27,0.0
1989-02-28,0.0
1989-03-01,0.0
1989-03-02,0.0
1989-03-03,0.0
1989-03-04,0.0
1989-03-05,0.0
1989-03-06,0.0
1989-03-07,0.0
1989-03-08,0.0
1989-03-09,0.00012838000000000001
1989-03-10,0.0003668
1989-03-11,0.00011921
1989-03-12,1.834e-05
1989-03-13,0.0032461800000000004
1989-03-14,0.0
1989-03-15,0.0034112400000000003
1989-03-16,0.00899577
1989-03-17,0.00524524
1989-03-18,0.00079779
1989-03-19,8.253000000000001e-05
1989-03-20,0.0011004
1989-03-21,0.0
1989-03-22,0.0
1989-03-23,0.0
1989-03-24,0.0
1989-03-25,0.0
1989-03-26,0.0
1989-03-27,0.0
1989-03-28,0.0
1989-03-29,0.00329203
1989-03-30,0.0129297
1989-03-31,0.00024759
1989-04-01,0.00022008
1989-04-02,9.17e-06
1989-04-03,0.0048601
1989-04-04,0.0009170000000000001
1989-04-05,0.00011004
1989-04-06,0.0
1989-04-07,0.0
1989-04-08,0.0
1989-04-09,0.00441077
1989-04-10,0.00042182000000000005
1989-04-11,0.01067388
1989-04-12,8.253000000000001e-05
1989-04-13,0.00643734
1989-04-14,0.0011004
1989-04-15,0.00631813
1989-04-16,0.0020540800000000002
1989-04-17,9.17e-06
1989-04-18,0.00153139
1989-04-19,0.0
1989-04-20,0.00276017
1989-04-21,0.0
1989-04-22,0.0
1989-04-23,0.0032095
1989-04-24,0.00232001
1989-04-25,0.0018340000000000001
1989-04-26,0.0
1989-04-27,0.0
1989-04-28,0.00098119
1989-04-29,0.0
1989-04-30,0.00140301
1989-05-01,0.00851893
1989-05-02,0.00046767000000000005
1989-05-03,0.00595133
1989-05-04,0.0
1989-05-05,0.00088032
1989-05-06,0.00258594
1989-05-07,0.0032828600000000003
1989-05-08,0.0075194
1989-05-09,0.0011921000000000002
1989-05-10,0.00189819
1989-05-11,0.00013755
1989-05-12,0.00022008
1989-05-13,0.0
1989-05-14,0.00081613
1989-05-15,0.00095368
1989-05-16,0.0
1989-05-17,0.0012838
1989-05-18,0.0017423
1989-05-19,0.00010087
1989-05-20,0.0
1989-05-21,0.00041265000000000003
1989-05-22,0.0075194
1989-05-23,0.00557536
1989-05-24,0.00255843
1989-05-25,0.00424571
1989-05-26,0.01521303
1989-05-27,0.00329203
1989-05-28,0.008326360000000001
1989-05-29,0.00331954
1989-05-30,0.0
1989-05-31,0.0
1989-06-01,0.00321867
1989-06-02,0.00043098999999999996
1989-06-03,0.0010545499999999998
1989-06-04,0.015286390000000002
1989-06-05,0.00055937
1989-06-06,0.00072443
1989-06-07,0.01001364
1989-06-08,0.009124150000000001
1989-06-09,0.00552034
1989-06-10,0.0025125800000000004
1989-06-11,0.0
1989-06-12,0.0
1989-06-13,0.015552320000000001
1989-06-14,0.004309900000000001
1989-06-15,2.751e-05
1989-06-16,0.00053186
1989-06-17,0.0015589
1989-06-18,0.0
1989-06-19,0.00493346
1989-06-20,8.253000000000001e-05
1989-06-21,0.0070792400000000005
1989-06-22,0.00017423
1989-06-23,0.0
1989-06-24,0.008005410000000001
1989-06-25,0.00517188
1989-06-26,0.01067388
1989-06-27,0.0006694100000000001
1989-06-28,0.010985660000000001
1989-06-29,0.004988480000000001
1989-06-30,0.00132965
1989-07-01,0.01226064
1989-07-02,0.0
1989-07-03,0.0
1989-07-04,0.005115720000000001
1989-07-05,0.04484532000000001
1989-07-06,0.00038448
1989-07-07,0.0
1989-07-08,4.2720000000000004e-05
1989-07-09,0.020366760000000005
1989-07-10,0.00381276
1989-07-11,0.00893916
1989-07-12,0.012965520000000001
1989-07-13,0.0058206
1989-07-14,0.0037380000000000004
1989-07-15,2.1360000000000002e-05
1989-07-16,0.0
1989-07-17,0.01138488
1989-07-18,0.00046992000000000003
1989-07-19,9.612e-05
1989-07-20,0.00036312000000000003
1989-07-21,0.00028836000000000004
1989-07-22,0.005008920000000001
1989-07-23,7.476000000000001e-05
1989-07-24,0.00420792
1989-07-25,0.0075828
1989-07-26,0.0
1989-07-27,0.00645072
1989-07-28,0.007721640000000001
1989-07-29,0.0
1989-07-30,0.013873320000000001
1989-07-31,0.0013029600000000001
1989-08-01,0.018764760000000002
1989-08-02,0.00045924000000000003
1989-08-03,2.1360000000000002e-05
1989-08-04,0.0025952400000000004
1989-08-05,0.004528320000000001
1989-08-06,0.00247776
1989-08-07,0.00018156000000000002
1989-08-08,0.01114992
1989-08-09,0.007326480000000001
1989-08-10,0.00561768
1989-08-11,0.0036632400000000003
1989-08-12,0.00102528
1989-08-13,0.0014952000000000001
1989-08-14,0.04295496
1989-08-15,0.025493160000000004
1989-08-16,0.0181026
1989-08-17,0.00012816
1989-08-18,0.00248844
1989-08-19,0.026838840000000003
1989-08-20,0.00035244000000000003
1989-08-21,0.0034923600000000003
