time,precipitation_m_day
1982-09-16,0.0011
1982-09-17,0.0
1982-09-18,0.00221
1982-09-19,0.0
1982-09-20,0.00136
1982-09-21,0.00026000000000000003
1982-09-22,0.0
1982-09-23,0.02646
1982-09-24,0.011
1982-09-25,0.00047999999999999996
1982-09-26,0.0
1982-09-27,0.00022
1982-09-28,0.0
1982-09-29,0.0006
1982-09-30,0.00653
1982-10-01,0.0050999999999999995
1982-10-02,0.00047
1982-10-03,0.00536
1982-10-04,0.0018700000000000001
1982-10-05,0.0
1982-10-06,0.01056
1982-10-07,0.00158
1982-10-08,0.00474
1982-10-09,0.00027
1982-10-10,0.008199999999999999
1982-10-11,0.0025299999999999997
1982-10-12,5e-05
1982-10-13,0.00414
1982-10-14,0.0
1982-10-15,0.0
1982-10-16,0.0008399999999999999
1982-10-17,0.00262
1982-10-18,0.00813
1982-10-19,0.00514
1982-10-20,7.000000000000001e-05
1982-10-21,0.0
1982-10-22,0.0032400000000000003
1982-10-23,2.9999999999999997e-05
1982-10-24,0.00041999999999999996
1982-10-25,0.005889999999999999
1982-10-26,0.00418
1982-10-27,0.0017800000000000001
1982-10-28,0.00578
1982-10-29,0.00269
1982-10-30,0.00013000000000000002
1982-10-31,0.02197
1982-11-01,2e-05
1982-11-02,0.00644
1982-11-03,0.00132
1982-11-04,0.00031
1982-11-05,0.0
1982-11-06,0.0
1982-11-07,0.0
1982-11-08,0.00099
1982-11-09,0.0
1982-11-10,0.0
1982-11-11,0.0007700000000000001
1982-11-12,0.0
1982-11-13,0.0
1982-11-14,0.0005899999999999999
1982-11-15,0.0
1982-11-16,0.0
1982-11-17,0.0
1982-11-18,0.0
1982-11-19,0.0
1982-11-20,0.00015
1982-11-21,0.0
1982-11-22,0.0
1982-11-23,0.0
1982-11-24,0.0
1982-11-25,0.0
1982-11-26,0.0
1982-11-27,0.0
1982-11-28,0.0
1982-11-29,0.0
1982-11-30,0.00117
1982-12-01,0.00125
1982-12-02,0.0
1982-12-03,0.0
1982-12-04,0.0
1982-12-05,0.0
1982-12-06,0.0
1982-12-07,0.0
1982-12-08,0.0
1982-12-09,0.0
1982-12-10,0.0
1982-12-11,0.0
1982-12-12,0.0
1982-12-13,0.0
1982-12-14,0.0
1982-12-15,0.0
1982-12-16,0.0
1982-12-17,0.0
1982-12-18,0.00011999999999999999
1982-12-19,0.0
1982-12-20,0.0
1982-12-21,0.0
1982-12-22,0.0
1982-12-23,0.0
1982-12-24,0.0
1982-12-25,0.0
1982-12-26,0.0
1982-12-27,0.0
1982-12-28,0.0
1982-12-29,0.0
1982-12-30,0.0
1982-12-31,0.0
1983-01-01,0.0
1983-01-02,0.0
1983-01-03,0.0
1983-01-04,0.0
1983-01-05,0.0
1983-01-06,0.0
1983-01-07,0.0
1983-01-08,0.0
1983-01-09,0.0
1983-01-10,0.0
1983-01-11,0.0
1983-01-12,0.0
1983-01-13,0.0
1983-01-14,0.0
1983-01-15,0.0
1983-01-16,0.0
1983-01-17,0.0
1983-01-18,0.0
1983-01-19,0.0
1983-01-20,0.0
1983-01-21,0.0
1983-01-22,0.0
1983-01-23,0.0
1983-01-24,0.0
1983-01-25,0.0
1983-01-26,0.0
1983-01-27,0.0
1983-01-28,0.0
1983-01-29,0.0
1983-01-30,0.0
1983-01-31,0.0
1983-02-01,0.0
1983-02-02,0.0
1983-02-03,0.0
1983-02-04,0.0
1983-02-05,0.0
1983-02-06,0.0
1983-02-07,0.0
1983-02-08,0.0012900000000000001
1983-02-09,0.0
1983-02-10,0.0014
