time,precipitation_m_day
2009-09-16,0.01133158
2009-09-17,0.00011726
2009-09-18,0.0011193000000000002
2009-09-19,0.0033579
2009-09-20,0.00119392
2009-09-21,0.0031447000000000003
2009-09-22,0.0037629800000000004
2009-09-23,0.009210240000000001
2009-09-24,0.0007461999999999999
2009-09-25,0.00020254000000000002
2009-09-26,0.0028355600000000004
2009-09-27,0.0028355600000000004
2009-09-28,0.0
2009-09-29,0.01101178
2009-09-30,6.396e-05
2009-10-01,0.006907680000000001
2009-10-02,0.00424268
2009-10-03,0.01600066
2009-10-04,0.0
2009-10-05,0.011683360000000002
2009-10-06,0.0
2009-10-07,0.0071635200000000005
2009-10-08,0.00681174
2009-10-09,0.0
2009-10-10,0.0
2009-10-11,7.462e-05
2009-10-12,0.0053619800000000006
2009-10-13,0.017610320000000002
2009-10-14,0.0014604200000000003
2009-10-15,0.006108180000000001
2009-10-16,0.0019081400000000002
2009-10-17,0.0009594
2009-10-18,0.0
2009-10-19,0.0
2009-10-20,0.00102336
2009-10-21,0.007525960000000001
2009-10-22,0.006523920000000001
2009-10-23,0.004860959999999999
2009-10-24,0.014796080000000001
2009-10-25,0.0008528000000000001
2009-10-26,0.00130052
2009-10-27,0.02518958
2009-10-28,0.00023452
2009-10-29,0.00773916
2009-10-30,0.0
2009-10-31,0.0012792
2009-11-01,0.007408700000000001
2009-11-02,0.000533
2009-11-03,0.0
2009-11-04,0.0
2009-11-05,0.0
2009-11-06,0.00043706
2009-11-07,0.0013644800000000002
2009-11-08,0.00663052
2009-11-09,0.00354978
2009-11-10,0.0
2009-11-11,0.0
2009-11-12,0.00594828
2009-11-13,0.006929
2009-11-14,0.00139646
2009-11-15,0.00014924
2009-11-16,0.0
2009-11-17,0.0
2009-11-18,0.0
2009-11-19,0.0
2009-11-20,0.0
2009-11-21,0.0
2009-11-22,0.0
2009-11-23,0.0
2009-11-24,0.0
2009-11-25,0.0
2009-11-26,0.0
2009-11-27,0.0
2009-11-28,0.0
2009-11-29,0.0
2009-11-30,0.0
2009-12-01,0.0
2009-12-02,0.0
2009-12-03,0.0
2009-12-04,0.0
2009-12-05,0.0
2009-12-06,0.0
2009-12-07,0.0
2009-12-08,0.0
2009-12-09,0.0
2009-12-10,0.0
2009-12-11,0.0
2009-12-12,0.01105
2009-12-13,0.00027
2009-12-14,0.0
2009-12-15,0.0
2009-12-16,0.0
2009-12-17,0.0
2009-12-18,0.0
2009-12-19,0.0
2009-12-20,0.0
2009-12-21,0.0
2009-12-22,0.0
2009-12-23,0.0
2009-12-24,0.0
2009-12-25,0.0
2009-12-26,0.0
2009-12-27,0.0
2009-12-28,0.0
2009-12-29,0.0
2009-12-30,0.0
2009-12-31,0.0
2010-01-01,0.0
2010-01-02,0.0
2010-01-03,0.0
2010-01-04,0.0
2010-01-05,0.0
2010-01-06,0.0
2010-01-07,0.0
2010-01-08,0.0
2010-01-09,0.0
2010-01-10,0.0
2010-01-11,0.0
2010-01-12,0.0
2010-01-13,0.0
2010-01-14,0.0
2010-01-15,0.0
2010-01-16,0.0
2010-01-17,0.0
2010-01-18,0.0
2010-01-19,0.0
2010-01-20,0.0
2010-01-21,0.0
2010-01-22,0.0
2010-01-23,0.0
2010-01-24,0.0
2010-01-25,0.0
2010-01-26,0.0
2010-01-27,0.0
2010-01-28,0.0
2010-01-29,0.0
2010-01-30,0.0
2010-01-31,0.0
2010-02-01,0.0
2010-02-02,0.0
2010-02-03,0.0
2010-02-04,0.0
2010-02-05,0.0
2010-02-06,0.0
2010-02-07,0.0
2010-02-08,0.0
2010-02-09,0.0
2010-02-10,0.0
